Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,symmetric,0.31,0.46845767555435824
100% Corpus,9,symmetric,0.61,0.454432163025583
100% Corpus,9,symmetric,0.9099999999999999,0.42565034723981005
100% Corpus,9,symmetric,symmetric,0.4545248712845895
100% Corpus,9,asymmetric,0.01,0.44393334584898037
100% Corpus,9,asymmetric,0.31,0.46705814121103945
100% Corpus,9,asymmetric,0.61,0.4685574491152782
100% Corpus,9,asymmetric,0.9099999999999999,0.4038755249757582
100% Corpus,9,asymmetric,symmetric,0.45018159901281163
100% Corpus,10,0.01,0.01,0.4806028337691883
100% Corpus,10,0.01,0.31,0.4961249521929054
100% Corpus,10,0.01,0.61,0.4723322528121347
100% Corpus,10,0.01,0.9099999999999999,0.4660547994135082
100% Corpus,10,0.01,symmetric,0.462329409803021
100% Corpus,10,0.31,0.01,0.4775991987384958
100% Corpus,10,0.31,0.31,0.49225711358292407
100% Corpus,10,0.31,0.61,0.48098590790437756
100% Corpus,10,0.31,0.9099999999999999,0.45818420693710954
100% Corpus,10,0.31,symmetric,0.46254749894592795
100% Corpus,10,0.61,0.01,0.4797522879532335
100% Corpus,10,0.61,0.31,0.48431207176141455
100% Corpus,10,0.61,0.61,0.4826967269343091
100% Corpus,10,0.61,0.9099999999999999,0.4618784065756459
100% Corpus,10,0.61,symmetric,0.4622562869563872
100% Corpus,10,0.9099999999999999,0.01,0.46748306135091705
100% Corpus,10,0.9099999999999999,0.31,0.4840728385409445
100% Corpus,10,0.9099999999999999,0.61,0.49873110749782884
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.478758104441833
100% Corpus,10,0.9099999999999999,symmetric,0.46765689525994975
100% Corpus,10,symmetric,0.01,0.48019468139074994
100% Corpus,10,symmetric,0.31,0.4968194541206635
100% Corpus,10,symmetric,0.61,0.4786544794482747
100% Corpus,10,symmetric,0.9099999999999999,0.4690473268957473
100% Corpus,10,symmetric,symmetric,0.4556982319392035
100% Corpus,10,asymmetric,0.01,0.46713355934734296
100% Corpus,10,asymmetric,0.31,0.48182369425820537
100% Corpus,10,asymmetric,0.61,0.44517209016993914
100% Corpus,10,asymmetric,0.9099999999999999,0.47143352146679707
100% Corpus,10,asymmetric,symmetric,0.4647484822582263
